quesId	Q_Id	prompt.Domain	prompt.Elicitation Method	prompt.Target	prompt.content.English-Latin.text.000000.startindex	prompt.content.English-Latin.text.000000.endindex	prompt.content.English-Latin.text.000000.textspan.Latin	prompt.content.Hindi-Devanagari.text.000000.startindex	prompt.content.Hindi-Devanagari.text.000000.endindex	prompt.content.Hindi-Devanagari.text.000000.textspan.Devanagari
	D1	[General]	Translation	[Article]			A boy [someone you dont' know] came to meet you.			एक लड़का [जिसे आप नहीं जानते] आपसे मिलने आया था।
	D2	[General]	Translation	[Article]			The boy [who was mentioned before] was tall and fair.			लड़का [जिसकी अभी बात कि गयी] लंबा और गोरा था।
	D3	[General]	Translation	[Article]			The boy [who was mentioned before] said that he met a girl [only you know her]			लड़के [जिस लड़के की पहले बात की गयी है] ने कहा कि वह एक लड़की से मिला है [केवल आप उसे जानते हैं]
	D4	[General]	Translation	[Article]			The girl he met was your sister.			वो जिस लड़की से मिला वो आपकी बहन थी।
	D5	[General]	Translation	[Article]			A girl came to meet you.			एक लड़की तुमसे मिलने आई थी।
	D6	[General]	Translation	[Article]			I told you to meet a girl. 			मैंने तुम्हें एक लड़की से मिलने के लिए कहा था।
	D7a	[General]	Translation	[Demonstrative]			This man is my sister's friend. 			ये आदमी मेरी बहन का दोस्त है।
	D7b	[General]	Translation	[Demonstrative]			This is my sister's friend.			ये मेरी बहन की सहेली है।\ ये मेरी बहन का दोस्त है।
	D8a	[General]	Translation	[Demonstrative]			I met this girl at a wedding last week.			मैं इस लड़की से पिछले हफ्ते एक शादी में मिला था।
	D8b	[General]	Translation	[Demonstrative]			I met her at a wedding last week.			मैं पिछले हफ्ते एक शादी में उनसे/इनसे मिला था।
	D9a	[General]	Translation	[Demonstrative]			This box is very heavy. 			ये डिब्बा बहुत भारी है।
	D9b	[General]	Translation	[Demonstrative]			This is very heavy.			ये बहुत भारी है।
	D10a	[General]	Translation	[Demonstrative]			I have seen these boys. 			मैंने इन लड़कों को देखा है।
	D10b	[General]	Translation	[Demonstrative]			I have seen these.			मैंने इन्हें देखा है।
	D10c	[General]	Translation	[Demonstrative]			I have seen them.			मैंने उन्हें देखा है।
	D11a	[General]	Translation	[Demonstrative]			These girls were playing here.			ये लड़कियां यहां खेल रही थीं।
	D11b	[General]	Translation	[Demonstrative]			These were playing here.			ये यहाँ खेल रहे थे।
	D11c	[General]	Translation	[Demonstrative]			They were playing here.			वो यहाँ खेल रहे थे।
	D12a	[General]	Translation	[Demonstrative]			I will take these bags. 			मैं ये बैग ले जाऊंगा।
	D12b	[General]	Translation	[Demonstrative]			I will take these.			मैं ये लूंगा।
	D13a	[General]	Translation	[Demonstrative]			These people are from the East and those people are from the west.			ये लोग पूरब के हैं और वो लोग पश्चिम के हैं।
	D13b	[General]	Translation	[Demonstrative]			They are from the East and they are from the west.			वे पूरब​ से हैं और वे पश्चिम से हैं।
	D13c	[General]	Translation	[Demonstrative]			These are from the East and these are from the west.			ये पूरब​ से हैं और ये पश्चिम से हैं।
	D14a	[General]	Translation	[Demonstrative]			That man is not my friend. 			वो आदमी मेरा दोस्त नहीं है।
	D14b	[General]	Translation	[Demonstrative]			That is not my friend.			वो मेरा दोस्त नहीं है।
	D14c	[General]	Translation	[Demonstrative]			He is not my friend.			वह मेरा दोस्त नहीं है।
	D15a	[General]	Translation	[Demonstrative]			I have seen that woman before. 			मैंने उस औरत को पहले देखा है।
	D15b	[General]	Translation	[Demonstrative]			I have seen that before.			मैंने उसे पहले देखा है।
	D15c	[General]	Translation	[Demonstrative]			I have seen her before.			मैंने उसको पहले देखा है।
	D16a	[General]	Translation	[Demonstrative]			He wants that book. 			ये वो किताब चाहता है।
	D16b	[General]	Translation	[Demonstrative]			He wants that.			उसे ये चहिये।
	D17a	[General]	Translation	[Demonstrative]			Those boys are farmers. 			वो लड़के किसान हैं।
	D17b	[General]	Translation	[Demonstrative]			Those are farmers.			वो किसान हैं।
	D17c	[General]	Translation	[Demonstrative]			They are farmers.			वे किसान हैं।
	D18a	[General]	Translation	[Demonstrative]			You can give those women some money.			आप उन महिलाओं को कुछ पैसे दे सकते हैं।
	D18c	[General]	Translation	[Demonstrative]			You can give those women some money.			तुम उन महिलाओं को कुछ पैसे दे सकते हो।
	D18b	[General]	Translation	[Demonstrative]			You can give those/them some money.			आप उन्हें कुछ पैसे दे सकते हैं।
	D18d	[General]	Translation	[Demonstrative]			You can give those/them some money.			तुम उन्हें कुछ पैसे दे सकते हो।
	D19a	[General]	Translation	[Demonstrative]			Those houses are old. 			वो घर पुराने हैं।
	D19b	[General]	Translation	[Demonstrative]			Those are old.			वो पुराने हैं।
	D20a	[General]	Translation	[Demonstrative]			I want to marry that girl (pointing to a girl standing far away).			मैं उस लड़की से शादी करना चाहता हूं (दूर खड़ी लड़की की ओर इशारा करते हुए)।
	D20b	[General]	Translation	[Demonstrative]			I want to marry her.			मैं उससे शादी करना चाहता हूं।
	D21a	[General]	Translation	[Demonstrative]			That boy (pointing to a boy standing far away) will marry my sister.			वो लड़का (दूर खड़े लड़के की ओर इशारा करते हुए) मेरी बहन से शादी करेगा।
	D21b	[General]	Translation	[Demonstrative]			He will marry my sister.			वह मेरी बहन से शादी करेगा।
	D21c	[General]	Translation	[Demonstrative]			That will marry my sister.			वो मेरी बहन से शादी करेगा।
	D22a	[General]	Translation	[Demonstrative]			Tomorrow we can climb that mountain (pointing). 			कल हम उस पहाड़ पर चढ़ सकते हैं (इशारा करते हुए)।
	D22b	[General]	Translation	[Demonstrative]			Tomorrow we can climb that (one).			कल हम उस(वाले) पर चढ़ सकते हैं।
	D23a	[General]	Translation	[Demonstrative]			Those girls (pointing) are from my school.			वो लड़कियां (इशारा करते हुए) मेरे स्कूल की हैं।
	D23b	[General]	Translation	[Demonstrative]			They (pointing) are from my school.			वे (इशारा करते हुए) मेरे स्कूल से हैं।
	D23c	[General]	Translation	[Demonstrative]			Those (pointing) are from my school.			वो (इशारा करते हुए) मेरे स्कूल से हैं।
	D24a	[General]	Translation	[Demonstrative]			We should stop those men from reaching here. 			हमें उन आदमियो को यहां पहुंचने से रोकना चाहिए।
	D24b	[General]	Translation	[Demonstrative]			We should stop them from reaching here.			हमें उन्हें यहां पहुंचने से रोकना चाहिए।
	D24c	[General]	Translation	[Demonstrative]			We should stop those from reaching here.			हमें उनको यहां पहुंचने से रोकना चाहिए।
	D25a	[General]	Translation	[Demonstrative]			Those houses are not part in our village. 			वो घर हमारे गांव के हिस्से में नहीं हैं।
	D25c	[General]	Translation	[Demonstrative]			Those houses are not part of our village.			वो घर हमारे गांव का हिस्सा नहीं हैं।
	D25b	[General]	Translation	[Demonstrative]			Those are not part of our village.			वो हमारे गांव का हिस्सा नहीं हैं।
	D25d	[General]	Translation	[Demonstrative]			Those are not part in our village.			वो हमारे गांव के हिस्से मे नहीं हैं।
	D26a	[General]	Translation	[Demonstrative]			I talked to that girl on the phone. 			मैंने उस लड़की से फोन पर बात की।
	D26b	[General]	Translation	[Demonstrative]			I talked to that on the phone.			मैंने उससे  (इशारा करते हुए) फोन पर बात की।
	D26c	[General]	Translation	[Demonstrative]			I talked to her on the phone.			मैंने उससे फोन पर बात की।
	D27a	[General]	Translation	[Demonstrative]			That man will come from Delhi. 			वो आदमी दिल्ली से आएगा।
	D27b	[General]	Translation	[Demonstrative]			That will come from Delhi.			वो दिल्ली से आएगा।
	D27c	[General]	Translation	[Demonstrative]			He will come from Delhi.			वह दिल्ली से आएगा।
	D28a	[General]	Translation	[Demonstrative]			The company will send that packet to Calcutta. 			कंपनी उस पैकेट को कलकत्ता भेजेगी।
	D28b	[General]	Translation	[Demonstrative]			The company will send that to Calcutta.			कंपनी उसे कलकत्ता भेजेगी।
	D29a	[General]	Translation	[Demonstrative]			Those girls have not come today. 			वो लड़कियां आज नहीं आई हैं।
	D29b	[General]	Translation	[Demonstrative]			Those have not come today.			वो आज नहीं आए हैं।
	D29c	[General]	Translation	[Demonstrative]			They have not come today.			वे आज नहीं आए हैं।
	D30a	[General]	Translation	[Demonstrative]			I heard about those men at the market last week. 			मैंने पिछले हफ्ते बाजार में उन आदमियो के बारे में सुना।
	D30b	[General]	Translation	[Demonstrative]			I heard about those at the market last week.			मैंने पिछले हफ्ते बाजार में उन लोगों के बारे में सुना।
	D30c	[General]	Translation	[Demonstrative]			I heard about them at the market last week.			मैंने पिछले हफ्ते बाजार में उनके बारे में सुना।
	D31a	[General]	Translation	[Demonstrative]			He left those books at home (ie, he didn't bring it). 			उसने वो किताबें घर छोड़ दी (यानी, वो उन्हे नहीं लाया)।
	D31b	[General]	Translation	[Demonstrative]			He left those at home (ie, he didn't bring it).			उसने उन्हें घर पर छोड़ दिया (यानी, वो उन्हे नहीं लाया)।
	D32	[General]	Translation	[Quantifier]			Every house has a dog. 			हर घर में एक कुत्ता है।
	D33a	[General]	Translation	[Quantifier]			You will not be able to meet everybody.			आप सभी से नहीं मिल पाएंगे।
	D33b	[General]	Translation	[Quantifier]			You will not be able to meet everybody.			तुम सभी से नहीं मिल पाओगे।
	D34	[General]	Translation	[Quantifier]			She told me everything. 			उसने मुझे सब कुछ बताया।
	D35	[General]	Translation	[Quantifier]			All the girls came to the class. 			सभी लड़कियां कक्षा में आईं।
	D36	[General]	Translation	[Quantifier]			Some man told her that she is beautiful. 			किसी आदमी ने उससे कहा कि वो सुंदर है।
	D37	[General]	Translation	[Quantifier]			Some of the boys did not come to the class. 			कुछ लड़के कक्षा में नहीं आए।
	D38	[General]	Translation	[Quantifier]			Please give the dog something to eat. 			कृपया कुत्ते को खाने के लिए कुछ दें।
	D39	[General]	Translation	[Quantifier]			I have brought something for you.			मैं तुम्हारे लिए कुछ लाया हूँ।
	D40	[General]	Translation	[Quantifier]			Give ten rupees to each one of them. 			सभी को दस-दस रुपये दो।
	D41	[General]	Translation	[Quantifier]			Someone knows English here.			यहाँ कोई अंग्रेजी जानता है।
	D42	[General]	Translation	[Quantifier]			Nobody likes snakes. 			सांपो को कोई पसंद नहीं करता।
	D43a	[General]	Translation	[Quantifier]			You will do nothing. 			तुम कुछ नहीं करोगे।
	D43b	[General]	Translation	[Quantifier]			You will do nothing. 			आप कुछ नहीं करेंगे।
	D44	[General]	Translation	[Quantifier]			Pick any two. 			कोई भी दो चुनें।
	D45	[General]	Translation	[Quantifier]			Anyone can answer this question. 			इस सवाल का जवाब कोई भी दे सकता है।
	D46	[General]	Translation	[Quantifier]			My grandmother gave me a lot of biscuits. 			मेरी दादी ने मुझे बहुत सारे बिस्कुट दिए।
	D47	[General]	Translation	[Quantifier]			Give me a few chocolates.			मुझे कुछ चॉकलेट दो।
	D48	[General]	Translation	[Quantifier]			Maya loves her baby a lot. 			माया अपने बच्चे से बहुत प्यार करती है।
	D49	[General]	Translation	[Quantifier]			There are many trees in my house. 			मेरे घर में बहुत सारे पेड़ हैं।
	D50	[General]	Translation	[Quantifier]			Please give me some water. 			कृपया मुझे थोड़ा पानी दें।
	D51	[General]	Translation	[Quantifier]			All the sugar dissolved in water.			सारी चीनी पानी में घुल गई।
	PN1	[General]	Translation	[Pronoun]			I am a farmer. 			मैं किसान हूँ।
